0.000000 -108.947242
1000.000000 -109.568691
2000.000000 -109.573608
3000.000000 -109.582781
4000.000000 -109.604307
5000.000000 -109.711938
6000.000000 -111.314188
7000.000000 -120.054896
8000.000000 -135.191049
9000.000000 -152.858732
10000.000000 -164.849915
11000.000000 -169.801077
12000.000000 -171.282175
13000.000000 -172.023061
14000.000000 -172.861233
15000.000000 -173.552267
16000.000000 -174.269793
17000.000000 -174.647581
18000.000000 -175.380433
19000.000000 -176.193134
20000.000000 -177.374450
21000.000000 -178.488275
22000.000000 -179.177342
23000.000000 -179.767086
24000.000000 -180.042754
25000.000000 -180.305277
26000.000000 -180.662320
27000.000000 -181.555898
28000.000000 -182.128355
29000.000000 -183.002685
30000.000000 -183.378449
31000.000000 -183.608776
32000.000000 -183.882847
33000.000000 -184.436822
34000.000000 -185.170486
35000.000000 -185.586216
36000.000000 -186.354893
37000.000000 -186.623561
38000.000000 -186.788581
39000.000000 -186.944272
40000.000000 -187.117729
41000.000000 -187.326391
42000.000000 -187.597163
43000.000000 -188.042525
44000.000000 -189.096735
45000.000000 -189.957229
46000.000000 -190.216682
47000.000000 -190.360669
48000.000000 -190.490939
49000.000000 -190.635633
50000.000000 -190.810695
51000.000000 -191.036657
52000.000000 -191.391163
53000.000000 -192.542906
54000.000000 -193.190609
55000.000000 -193.396781
56000.000000 -193.500907
57000.000000 -193.576497
58000.000000 -193.646092
59000.000000 -193.717703
60000.000000 -193.794678
61000.000000 -193.878244
62000.000000 -193.969495
63000.000000 -194.071826
64000.000000 -194.191476
65000.000000 -194.335617
66000.000000 -194.520755
67000.000000 -194.835416
68000.000000 -195.606197
69000.000000 -195.841930
70000.000000 -195.990658
71000.000000 -196.167417
72000.000000 -196.540634
73000.000000 -197.165518
74000.000000 -197.329500
75000.000000 -197.409943
76000.000000 -197.467016
77000.000000 -197.517414
78000.000000 -197.566587
79000.000000 -197.616601
80000.000000 -197.668659
81000.000000 -197.724034
82000.000000 -197.784407
83000.000000 -197.851731
84000.000000 -197.927691
85000.000000 -198.013579
86000.000000 -198.111847
87000.000000 -198.230572
88000.000000 -198.391287
89000.000000 -198.690911
90000.000000 -199.353163
91000.000000 -199.551200
92000.000000 -199.647713
93000.000000 -199.710755
94000.000000 -199.761445
95000.000000 -199.808536
96000.000000 -199.856113
97000.000000 -199.905993
98000.000000 -199.958813
99000.000000 -200.014940
