0.000000 0.023606
1000.000000 -43.306280
2000.000000 -74.159268
3000.000000 -90.276392
4000.000000 -100.200802
5000.000000 -108.743596
6000.000000 -116.748500
7000.000000 -124.064074
8000.000000 -130.046217
9000.000000 -134.528744
10000.000000 -137.969864
11000.000000 -140.911343
12000.000000 -143.577492
13000.000000 -146.018371
14000.000000 -148.315565
15000.000000 -150.477654
16000.000000 -152.518241
17000.000000 -154.448519
18000.000000 -156.284598
19000.000000 -158.013461
20000.000000 -159.660297
21000.000000 -161.392950
22000.000000 -163.898770
23000.000000 -166.056335
24000.000000 -167.689682
25000.000000 -169.005156
26000.000000 -170.120540
27000.000000 -171.074830
28000.000000 -171.926807
29000.000000 -172.677830
30000.000000 -173.344335
31000.000000 -173.961037
32000.000000 -174.538030
33000.000000 -175.073350
34000.000000 -175.570800
35000.000000 -176.032290
36000.000000 -176.570503
37000.000000 -177.264549
38000.000000 -177.859614
39000.000000 -178.382008
40000.000000 -178.851026
41000.000000 -179.285251
42000.000000 -179.702889
43000.000000 -180.103817
44000.000000 -180.485866
45000.000000 -180.851378
46000.000000 -181.205940
47000.000000 -181.550229
48000.000000 -181.884350
49000.000000 -182.213859
50000.000000 -182.536126
51000.000000 -182.850930
52000.000000 -183.161996
53000.000000 -183.464852
54000.000000 -183.762787
55000.000000 -184.057079
56000.000000 -184.343602
57000.000000 -184.625549
58000.000000 -184.901045
59000.000000 -185.168026
60000.000000 -185.432788
61000.000000 -185.697139
62000.000000 -185.959562
63000.000000 -186.222697
64000.000000 -186.485602
65000.000000 -186.741585
66000.000000 -186.988576
67000.000000 -187.229728
68000.000000 -187.467293
69000.000000 -187.701050
70000.000000 -187.932153
71000.000000 -188.161908
72000.000000 -188.390332
73000.000000 -188.616103
74000.000000 -188.838670
75000.000000 -189.059235
76000.000000 -189.279022
77000.000000 -189.497748
78000.000000 -189.713297
79000.000000 -189.924126
80000.000000 -190.131296
81000.000000 -190.337383
82000.000000 -190.544890
83000.000000 -190.754657
84000.000000 -190.964782
85000.000000 -191.172249
86000.000000 -191.375879
87000.000000 -191.576904
88000.000000 -191.777536
89000.000000 -191.979186
90000.000000 -192.181358
91000.000000 -192.382514
92000.000000 -192.581556
93000.000000 -192.778081
94000.000000 -192.972322
95000.000000 -193.164911
96000.000000 -193.356061
97000.000000 -193.545717
98000.000000 -193.734592
99000.000000 -193.924269
